FlightNumber,Origin,Destination,ScheduledDeparture,ScheduledArrival,Status,DisruptionReason,Gate,Aircraft,SeatsAvailable,FareClass,Cabin,IsRebookable
UA5735,ORD,CLT,2025-06-18 03:18:00,2025-06-18 07:12:00,On Time,,E8,CRJ900,17,Y,Business,False
UA6025,ORD,CLT,2025-06-18 02:41:00,2025-06-18 06:59:00,On Time,,D5,A320,7,M,Economy,False
UA4654,ORD,MIA,2025-06-18 07:56:00,2025-06-18 10:20:00,On Time,,H19,B737,11,M,Economy,False
UA1269,ORD,CLT,2025-06-18 22:52:00,2025-06-19 02:36:00,On Time,,D25,B737,5,M,Business,False
UA9225,ORD,DFW,2025-06-18 09:12:00,2025-06-18 13:56:00,On Time,,E8,B737,1,M,Business,False
UA9392,ORD,PHX,2025-06-18 09:08:00,2025-06-18 11:21:00,On Time,,G11,CRJ900,20,M,Economy,False
UA9297,ORD,SFO,2025-06-18 09:02:00,2025-06-18 11:17:00,On Time,,F4,CRJ900,18,M,Business,False
UA8185,ORD,ATL,2025-06-18 07:29:00,2025-06-18 10:01:00,Delayed,Late Arrival,B19,B737,13,J,Economy,False
UA7768,ORD,SFO,2025-06-18 13:08:00,2025-06-18 16:46:00,On Time,,D25,A320,3,J,First,False
UA1927,ORD,DEN,2025-06-18 09:06:00,2025-06-18 13:27:00,On Time,,C23,A320,8,J,Economy,False
UA4989,ORD,SFO,2025-06-18 17:19:00,2025-06-18 20:14:00,On Time,,B19,A321,5,J,First,False
UA8105,ORD,LAX,2025-06-18 00:01:00,2025-06-18 04:21:00,On Time,,H19,A321,7,Y,Economy,False
UA8062,ORD,ATL,2025-06-18 19:21:00,2025-06-18 21:26:00,Cancelled,Crew Unavailable,B19,B737,15,J,Economy,True
UA7032,ORD,DFW,2025-06-18 09:02:00,2025-06-18 13:57:00,Delayed,ATC Congestion,A3,A321,12,J,First,False
UA8579,ORD,MIA,2025-06-18 12:44:00,2025-06-18 16:41:00,On Time,,D8,A320,10,Y,First,False
UA3708,ORD,LAX,2025-06-18 18:54:00,2025-06-18 21:31:00,On Time,,E8,B737,2,Y,Business,False
UA4662,ORD,MIA,2025-06-18 02:25:00,2025-06-18 06:40:00,On Time,,B19,B787,18,M,Economy,False
UA1645,ORD,ATL,2025-06-18 16:08:00,2025-06-18 19:20:00,On Time,,H19,CRJ900,13,M,First,False
UA1712,ORD,LAX,2025-06-18 01:50:00,2025-06-18 06:31:00,On Time,,G8,A320,7,Y,Economy,False
UA7012,ORD,JFK,2025-06-18 18:18:00,2025-06-18 21:26:00,On Time,,D8,A320,14,J,Economy,False
UA341,ORD,ATL,2025-06-18 01:43:00,2025-06-18 06:17:00,Delayed,Late Arrival,G2,CRJ900,15,M,Economy,False
UA6309,ORD,LAX,2025-06-18 13:41:00,2025-06-18 15:51:00,Cancelled,Mechanical Issue,C23,A321,13,J,First,True
UA8073,ORD,JFK,2025-06-18 18:58:00,2025-06-18 23:43:00,On Time,,A3,A320,18,J,First,False
UA1036,ORD,LAX,2025-06-18 02:04:00,2025-06-18 06:24:00,On Time,,E5,B787,5,Y,First,False
UA9849,ORD,ATL,2025-06-18 02:44:00,2025-06-18 04:48:00,On Time,,D8,CRJ900,3,J,Economy,False
UA1443,ORD,SEA,2025-06-18 19:45:00,2025-06-18 23:47:00,On Time,,F4,B787,10,M,Economy,False
UA4010,ORD,DEN,2025-06-18 22:51:00,2025-06-19 03:11:00,On Time,,D23,CRJ900,10,Y,Economy,False
UA1738,ORD,ATL,2025-06-18 15:38:00,2025-06-18 20:14:00,On Time,,E5,A321,4,M,Economy,False
UA2684,ORD,MIA,2025-06-18 08:20:00,2025-06-18 11:38:00,Delayed,ATC Congestion,D23,B787,20,J,Economy,False
UA1797,ORD,JFK,2025-06-18 22:47:00,2025-06-19 03:06:00,On Time,,B22,B787,4,M,Business,False
UA5717,ORD,DFW,2025-06-18 20:38:00,2025-06-18 23:23:00,On Time,,A18,B787,15,M,Economy,False
UA4633,ORD,LAX,2025-06-18 03:09:00,2025-06-18 07:36:00,On Time,,B19,A321,5,J,Business,False
UA9289,ORD,LAX,2025-06-18 18:49:00,2025-06-18 23:16:00,On Time,,B19,B787,1,M,First,False
UA2188,ORD,LAX,2025-06-18 18:51:00,2025-06-18 21:18:00,On Time,,E8,A321,6,J,Economy,False
UA9273,ORD,SEA,2025-06-18 22:45:00,2025-06-19 01:07:00,Cancelled,Crew Unavailable,B19,B737,5,Y,Business,True
UA5542,ORD,SEA,2025-06-18 00:50:00,2025-06-18 03:37:00,Delayed,ATC Congestion,D8,A321,5,J,Economy,False
UA7811,ORD,DFW,2025-06-18 13:03:00,2025-06-18 15:57:00,On Time,,C23,A321,9,Y,Economy,False
UA6628,ORD,PHX,2025-06-18 00:48:00,2025-06-18 05:00:00,On Time,,D5,A321,11,J,First,False
UA8885,ORD,PHX,2025-06-18 13:38:00,2025-06-18 18:31:00,Delayed,Late Arrival,A18,B737,18,M,Economy,False
UA5763,ORD,PHX,2025-06-18 03:42:00,2025-06-18 08:09:00,On Time,,E5,A320,12,J,Economy,False
