passenger_id,name,flight_number,loyalty_tier
DL7016_P0,Passenger_0,DL7016,Basic
DL7016_P1,Passenger_1,DL7016,Silver
DL7016_P2,Passenger_2,DL7016,Basic
DL7016_P3,Passenger_3,DL7016,Basic
DL7016_P4,Passenger_4,DL7016,Silver
DL7016_P5,Passenger_5,DL7016,Basic
DL7016_P6,Passenger_6,DL7016,Silver
DL7016_P7,Passenger_7,DL7016,Basic
DL7016_P8,Passenger_8,DL7016,Basic
DL7016_P9,Passenger_9,DL7016,Silver
DL7016_P10,Passenger_10,DL7016,Basic
DL7016_P11,Passenger_11,DL7016,Basic
DL7016_P12,Passenger_12,DL7016,Basic
DL7016_P13,Passenger_13,DL7016,Basic
DL7016_P14,Passenger_14,DL7016,Basic
DL7016_P15,Passenger_15,DL7016,Silver
DL7016_P16,Passenger_16,DL7016,Gold
DL7016_P17,Passenger_17,DL7016,Basic
DL7016_P18,Passenger_18,DL7016,Basic
DL7016_P19,Passenger_19,DL7016,Gold
DL7016_P20,Passenger_20,DL7016,Basic
DL7016_P21,Passenger_21,DL7016,Silver
DL7016_P22,Passenger_22,DL7016,Gold
DL7016_P23,Passenger_23,DL7016,Gold
DL7016_P24,Passenger_24,DL7016,Gold
DL7016_P25,Passenger_25,DL7016,Silver
DL7016_P26,Passenger_26,DL7016,Basic
DL7016_P27,Passenger_27,DL7016,Basic
DL7016_P28,Passenger_28,DL7016,Silver
DL7016_P29,Passenger_29,DL7016,Silver
DL7016_P30,Passenger_30,DL7016,Gold
DL7016_P31,Passenger_31,DL7016,Basic
DL7016_P32,Passenger_32,DL7016,1K
DL7016_P33,Passenger_33,DL7016,Basic
DL7016_P34,Passenger_34,DL7016,Gold
DL7016_P35,Passenger_35,DL7016,Basic
DL7016_P36,Passenger_36,DL7016,Gold
DL7016_P37,Passenger_37,DL7016,Gold
DL7016_P38,Passenger_38,DL7016,Silver
DL7016_P39,Passenger_39,DL7016,Silver
DL7016_P40,Passenger_40,DL7016,Silver
DL7016_P41,Passenger_41,DL7016,Gold
DL7016_P42,Passenger_42,DL7016,Basic
DL7016_P43,Passenger_43,DL7016,Gold
DL7016_P44,Passenger_44,DL7016,Basic
DL7016_P45,Passenger_45,DL7016,Silver
DL7016_P46,Passenger_46,DL7016,Basic
DL7016_P47,Passenger_47,DL7016,Basic
DL7016_P48,Passenger_48,DL7016,Silver
DL7016_P49,Passenger_49,DL7016,Basic
DL7016_P50,Passenger_50,DL7016,Basic
DL7016_P51,Passenger_51,DL7016,Basic
DL7016_P52,Passenger_52,DL7016,Silver
DL1335_P0,Passenger_0,DL1335,Gold
DL1335_P1,Passenger_1,DL1335,Gold
DL1335_P2,Passenger_2,DL1335,Basic
DL1335_P3,Passenger_3,DL1335,Silver
DL1335_P4,Passenger_4,DL1335,Silver
DL1335_P5,Passenger_5,DL1335,Basic
DL1335_P6,Passenger_6,DL1335,Gold
DL1335_P7,Passenger_7,DL1335,Basic
DL1335_P8,Passenger_8,DL1335,Basic
DL1335_P9,Passenger_9,DL1335,Silver
DL1335_P10,Passenger_10,DL1335,Basic
DL1335_P11,Passenger_11,DL1335,Silver
DL1335_P12,Passenger_12,DL1335,Basic
DL1335_P13,Passenger_13,DL1335,Silver
DL1335_P14,Passenger_14,DL1335,Silver
DL1335_P15,Passenger_15,DL1335,Basic
DL1335_P16,Passenger_16,DL1335,Basic
DL1335_P17,Passenger_17,DL1335,Basic
DL1335_P18,Passenger_18,DL1335,Basic
DL1335_P19,Passenger_19,DL1335,Basic
DL1335_P20,Passenger_20,DL1335,Silver
DL1335_P21,Passenger_21,DL1335,Silver
DL1335_P22,Passenger_22,DL1335,Basic
DL1335_P23,Passenger_23,DL1335,Basic
DL1335_P24,Passenger_24,DL1335,Silver
DL1335_P25,Passenger_25,DL1335,Silver
DL1335_P26,Passenger_26,DL1335,1K
DL1335_P27,Passenger_27,DL1335,Gold
DL1335_P28,Passenger_28,DL1335,Silver
DL1335_P29,Passenger_29,DL1335,Silver
DL1335_P30,Passenger_30,DL1335,Basic
DL1335_P31,Passenger_31,DL1335,Basic
DL1335_P32,Passenger_32,DL1335,Gold
DL1335_P33,Passenger_33,DL1335,Basic
DL1335_P34,Passenger_34,DL1335,Basic
DL1335_P35,Passenger_35,DL1335,Basic
DL1335_P36,Passenger_36,DL1335,Gold
DL1335_P37,Passenger_37,DL1335,Gold
DL1335_P38,Passenger_38,DL1335,Basic
DL1335_P39,Passenger_39,DL1335,Silver
DL1335_P40,Passenger_40,DL1335,Basic
DL1335_P41,Passenger_41,DL1335,Basic
DL1335_P42,Passenger_42,DL1335,Gold
DL1335_P43,Passenger_43,DL1335,Basic
DL1335_P44,Passenger_44,DL1335,Basic
DL1335_P45,Passenger_45,DL1335,Basic
DL1335_P46,Passenger_46,DL1335,1K
DL1335_P47,Passenger_47,DL1335,Basic
DL1335_P48,Passenger_48,DL1335,Basic
DL1335_P49,Passenger_49,DL1335,Basic
DL1335_P50,Passenger_50,DL1335,Basic
DL1335_P51,Passenger_51,DL1335,Basic
DL1335_P52,Passenger_52,DL1335,Basic
DL1335_P53,Passenger_53,DL1335,1K
DL1335_P54,Passenger_54,DL1335,Silver
DL1335_P55,Passenger_55,DL1335,Basic
DL1335_P56,Passenger_56,DL1335,Basic
DL1335_P57,Passenger_57,DL1335,Basic
DL1335_P58,Passenger_58,DL1335,Basic
DL1335_P59,Passenger_59,DL1335,Gold
DL1335_P60,Passenger_60,DL1335,Silver
DL1335_P61,Passenger_61,DL1335,Basic
